n,side_s,trivial_grid_s,improvement_vs_trivial,beats_trivial
17,10.004254,10.660254,0.656,True
18,10.273885,10.772846,0.498961,True
19,10.464897,10.928203,0.463307,True
20,10.616645,10.928203,0.311558,True
21,10.825649,11.0,0.174351,True
22,10.899276,12.0,1.100724,True
23,11.217812,12.0,0.782188,True
24,11.412241,12.0,0.587759,True
25,11.7127,12.0,0.2873,True
26,11.860387,12.0,0.139613,True
27,12.0,12.0,-0.0,False
28,12.496806,13.0,0.503194,True
29,12.67553,13.596697,0.921167,True
30,12.942845,14.0,1.057155,True
31,13.124081,14.0,0.875919,True
32,13.302824,14.0,0.697176,True
33,13.530472,14.0,0.469528,True
34,13.724158,14.124356,0.400198,True
35,13.875994,14.124356,0.248362,True
36,14.011528,14.392305,0.380777,True
37,14.109546,14.392305,0.282759,True
38,14.237364,14.392305,0.15494,True
39,14.305617,15.0,0.694383,True
40,14.549743,15.0,0.450257,True
