n,side_s,d_unit,side_exact,area_exact,credit,kind,proven_optimal,note
16,12.713629,0.2162273,"","","Melissen & Schuur 1995",literature_singleton,False,"also a member of GL-1995 family D(2k+1)+1 (k=2)"
17,12.928203,0.2113249,"6 + 4*sqrt(3)","36 + 21*sqrt(3)","Melissen & Schuur 1995",literature_singleton,False,"also a member of GL-1995 family 2D(k+1)+2D(k)-1 (k=2)"
18,13.293790,0.2034652,"","","Melissen & Schuur 1995",literature_singleton,False,""
19,13.448054,0.2003215,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
20,13.464102,0.2000000,"2*sqrt(3) + 10","30 + 28*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
21,13.464102,0.2000000,"2*sqrt(3) + 10","30 + 28*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
22,14.612566,0.1793969,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
23,14.882670,0.1751533,"","","Graham-Lubachevsky 1995",GL_table,False,""
24,14.928203,0.1744576,"4*sqrt(3) + 8","48 + 28*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
25,15.293810,0.1690659,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
26,15.458939,0.1667384,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
27,15.464102,0.1666667,"2*sqrt(3) + 12","36 + 39*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
28,15.464102,0.1666667,"2*sqrt(3) + 12","36 + 39*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
29,16.605603,0.1521896,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
30,16.730088,0.1507615,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
31,16.928203,0.1485431,"4*sqrt(3) + 10","60 + 37*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
32,17.247493,0.1451022,"","","Graham-Lubachevsky 1995",GL_table,False,""
33,17.406496,0.1434474,"","","Graham-Lubachevsky 1995",GL_table,False,""
34,17.462876,0.1428696,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
35,17.464102,0.1428571,"2*sqrt(3) + 14","42 + 52*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
36,17.464102,0.1428571,"2*sqrt(3) + 14","42 + 52*sqrt(3)","Oler 1961 / Groemer 1960 (triangular grid, proven optimal)",triangular,True,""
37,18.531241,0.1327392,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
38,18.730088,0.1310102,"","","best-known (this work, optimizer)",generic,False,""
39,18.924497,0.1293628,"","","best-known (this work, optimizer)",generic,False,""
40,18.928203,0.1293318,"4*sqrt(3) + 12","72 + 48*sqrt(3)","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
41,19.367257,0.1257612,"","","best-known (this work, optimizer)",generic,False,""
42,19.406496,0.1254517,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
43,19.463554,0.1250043,"","","Graham-Lubachevsky 1995 (infinite family)",GL_family,False,""
44,19.464102,0.1250000,"2*sqrt(3) + 16","48 + 67*sqrt(3)","Erdos-Oler 1961 (conjecture d(D(k)-1)=d(D(k)))",one_less_triangular,False,""
