n,area,side_a,side_b,side_c,best_equilateral_area,equilateral_source,improvement
23,92.74138,13.951119,13.951119,16.471519,95.909655,Graham-Lubachevsky 1995,3.168274
25,99.746134,10.732051,18.588457,21.464102,101.281942,Graham-Lubachevsky 1995,1.535808
26,102.704868,15.154051,15.408906,15.651705,103.480855,Graham-Lubachevsky 1995,0.775987
29,115.292243,15.252816,16.465445,17.456189,119.40154,Graham-Lubachevsky 1995,4.109297
30,118.848622,15.202119,16.810894,18.054664,121.198455,Graham-Lubachevsky 1995,2.349833
31,122.588045,15.153925,17.191625,18.681956,124.08588,Graham-Lubachevsky 1995,1.497835
32,127.074904,16.149436,17.249856,18.171961,128.810894,Graham-Lubachevsky 1995,1.73599
33,129.206348,16.72583,17.309844,17.840028,131.196795,Graham-Lubachevsky 1995,1.990447
34,131.585923,17.289932,17.28994,17.728131,132.048111,Graham-Lubachevsky 1995,0.462188
37,144.936029,14.94353,19.755879,22.398685,148.69955,Graham-Lubachevsky 1995,3.763522
38,148.37141,17.243069,18.696492,19.8717,151.907868,validated equilateral solve,3.536458
39,151.830725,17.205712,18.992336,20.379164,154.939968,validated equilateral solve,3.109243
41,160.110546,18.664479,19.263273,19.810865,161.189457,validated equilateral solve,1.078911
42,161.887091,18.730484,19.374575,19.960094,163.077815,Graham-Lubachevsky 1995,1.190724
43,163.719327,19.349928,19.445556,19.539793,164.038169,Graham-Lubachevsky 1995,0.318842
46,177.88737,19.307654,20.364000,21.277224,182.466130,"equilateral (this project, n=16-100 extension)",4.578761
47,183.09423,18.894271,20.856234,22.379164,187.058818,"equilateral (this project, n=16-100 extension)",3.964591
48,184.75052,19.243384,20.862394,22.171934,189.587925,"equilateral (this project, n=16-100 extension)",4.837401
50,194.49896,20.783198,21.209993,21.612464,196.889008,"equilateral (this project, n=16-100 extension)",2.390045
51,196.95278,21.117998,21.331186,21.538166,198.670773,"equilateral (this project, n=16-100 extension)",1.717994
52,199.30611,21.399968,21.399968,21.563570,199.485489,"equilateral (this project, n=16-100 extension)",0.179379
53,199.30611,21.399968,21.399968,21.563570,199.491988,"equilateral (this project, n=16-100 extension)",0.185878
56,214.32721,21.326589,22.327354,23.208938,218.632595,"equilateral (this project, n=16-100 extension)",4.305384
57,218.64986,21.291835,22.601443,23.715673,226.010827,"equilateral (this project, n=16-100 extension)",7.360971
58,220.89903,21.274573,22.747720,23.979069,226.979597,"equilateral (this project, n=16-100 extension)",6.080568
61,233.72417,22.784999,23.250393,23.689396,235.554608,"equilateral (this project, n=16-100 extension)",1.830436
62,234.66505,22.759244,23.303290,23.811675,237.232092,"equilateral (this project, n=16-100 extension)",2.567045
63,236.94543,23.183359,23.396118,23.603225,238.305667,"equilateral (this project, n=16-100 extension)",1.360235
67,254.20076,23.341891,24.296527,25.150127,259.232897,"equilateral (this project, n=16-100 extension)",5.032138
68,258.12022,23.315030,24.518890,25.567332,263.152179,"equilateral (this project, n=16-100 extension)",5.031963
69,261.87725,23.784227,23.983911,26.246762,265.986508,"equilateral (this project, n=16-100 extension)",4.109259
70,265.14728,23.269841,24.931920,26.314379,269.052815,"equilateral (this project, n=16-100 extension)",3.905535
72,273.59722,24.764188,25.147737,25.514494,276.850846,"equilateral (this project, n=16-100 extension)",3.253624
73,278.00144,25.157539,25.292945,25.568891,279.331625,"equilateral (this project, n=16-100 extension)",1.330182
74,278.72530,25.135674,25.375424,25.608564,280.421209,"equilateral (this project, n=16-100 extension)",1.695910
75,280.21024,25.283015,25.304815,25.735440,280.767159,"equilateral (this project, n=16-100 extension)",0.556914
79,297.51141,25.354469,26.270050,27.098701,302.296237,"equilateral (this project, n=16-100 extension)",4.784828
80,301.48562,25.331071,26.474425,27.486055,307.582782,"equilateral (this project, n=16-100 extension)",6.097164
81,306.15337,25.049805,26.778963,28.225007,312.846335,"equilateral (this project, n=16-100 extension)",6.692962
82,307.60185,25.287416,26.800041,28.092077,313.974381,"equilateral (this project, n=16-100 extension)",6.372530
85,319.57791,26.763457,27.178927,27.576166,324.506490,"equilateral (this project, n=16-100 extension)",4.928585
86,323.82873,27.079082,27.352149,27.617274,324.878200,"equilateral (this project, n=16-100 extension)",1.049470
87,324.22298,27.019640,27.372247,27.711727,326.406156,"equilateral (this project, n=16-100 extension)",2.183174
88,325.73673,27.185172,27.431612,27.671583,326.499610,"equilateral (this project, n=16-100 extension)",0.762879
92,344.91991,27.361552,28.277617,29.112325,351.843653,"equilateral (this project, n=16-100 extension)",6.923747
93,348.31802,27.344246,28.437746,29.417743,355.225134,"equilateral (this project, n=16-100 extension)",6.907113
94,353.41816,27.140915,28.718916,30.072099,361.253091,"equilateral (this project, n=16-100 extension)",7.834927
95,355.96049,27.307087,28.807618,30.104110,361.384156,"equilateral (this project, n=16-100 extension)",5.423663
96,361.42498,27.231413,29.092441,30.651192,362.362757,"equilateral (this project, n=16-100 extension)",0.937773
97,362.20542,27.278419,29.119456,30.664445,362.362757,"equilateral (this project, n=16-100 extension)",0.157341
98,368.97513,28.885601,29.197405,29.499527,371.865988,"equilateral (this project, n=16-100 extension)",2.890862
99,370.94477,28.861869,29.280230,29.681386,372.336018,"equilateral (this project, n=16-100 extension)",1.391249
100,371.28833,28.777166,29.300040,29.796321,374.070292,"equilateral (this project, n=16-100 extension)",2.781958
